1560953593.821207 server started (83070): version 2.7, socket /private/tmp/tmux-501/default, protocol 8
1560953593.821255 on Darwin 18.6.0 Darwin Kernel Version 18.6.0: Thu Apr 25 23:16:27 PDT 2019; root:xnu-4903.261.4~2/RELEASE_X86_64; libevent 2.1.8-stable (select)
1560953593.823064 add peer 0x108201000: 9 (0x7f9ccb003800)
1560953593.823102 new client 0x7f9ccb003800
1560953593.823193 loading /usr/local/etc/tmux.conf
1560953593.823214 loading /Users/james/.tmux.conf
1560953593.823482 /Users/james/.tmux.conf: source-file "${HOME}/configs/.tmux.conf"
1560953593.823519 /Users/james/.tmux.conf: source-file "${HOME}/.tmux-themepack/powerline/block/cyan.tmuxtheme"
1560953593.823559 server loop enter
1560953593.823637 peer 0x108201000 message 100
1560953593.823653 client 0x7f9ccb003800 IDENTIFY_FLAGS 0x10000
1560953593.823664 peer 0x108201000 message 101
1560953593.823676 client 0x7f9ccb003800 IDENTIFY_TERM xterm-256color
1560953593.823687 peer 0x108201000 message 102
1560953593.823698 client 0x7f9ccb003800 IDENTIFY_TTYNAME /dev/ttys007
1560953593.823709 peer 0x108201000 message 108
1560953593.823728 client 0x7f9ccb003800 IDENTIFY_CWD /Users/james/configs
1560953593.823739 peer 0x108201000 message 104
1560953593.823750 client 0x7f9ccb003800 IDENTIFY_STDIN 7
1560953593.823761 peer 0x108201000 message 107
1560953593.823771 client 0x7f9ccb003800 IDENTIFY_CLIENTPID 83068
1560953593.823782 peer 0x108201000 message 105
1560953593.823794 client 0x7f9ccb003800 IDENTIFY_ENVIRON TERM_SESSION_ID=w0t2p0:3632FEDC-84AA-43C1-9FCC-949E467DA1E4
1560953593.823805 peer 0x108201000 message 105
1560953593.823818 client 0x7f9ccb003800 IDENTIFY_ENVIRON SSH_AUTH_SOCK=/private/tmp/com.apple.launchd.ZaEaxMeSpO/Listeners
1560953593.823828 peer 0x108201000 message 105
1560953593.823841 client 0x7f9ccb003800 IDENTIFY_ENVIRON Apple_PubSub_Socket_Render=/private/tmp/com.apple.launchd.LNpT88TrWB/Render
1560953593.823852 peer 0x108201000 message 105
1560953593.823864 client 0x7f9ccb003800 IDENTIFY_ENVIRON COLORFGBG=15;0
1560953593.823875 peer 0x108201000 message 105
1560953593.823886 client 0x7f9ccb003800 IDENTIFY_ENVIRON ITERM_PROFILE=Default
1560953593.823896 peer 0x108201000 message 105
1560953593.823906 client 0x7f9ccb003800 IDENTIFY_ENVIRON XPC_FLAGS=0x0
1560953593.823916 peer 0x108201000 message 105
1560953593.823926 client 0x7f9ccb003800 IDENTIFY_ENVIRON LANG=en_US.UTF-8
1560953593.823935 peer 0x108201000 message 105
1560953593.823952 client 0x7f9ccb003800 IDENTIFY_ENVIRON PWD=/Users/james/configs
1560953593.823963 peer 0x108201000 message 105
1560953593.823975 client 0x7f9ccb003800 IDENTIFY_ENVIRON SHELL=/bin/zsh
1560953593.823986 peer 0x108201000 message 105
1560953593.823997 client 0x7f9ccb003800 IDENTIFY_ENVIRON TERM_PROGRAM_VERSION=3.2.9
1560953593.824008 peer 0x108201000 message 105
1560953593.824019 client 0x7f9ccb003800 IDENTIFY_ENVIRON TERM_PROGRAM=iTerm.app
1560953593.824030 peer 0x108201000 message 105
1560953593.824049 client 0x7f9ccb003800 IDENTIFY_ENVIRON PATH=/Users/james/.rvm/gems/ruby-2.4.2/bin:/Users/james/.rvm/gems/ruby-2.4.2@global/bin:/Users/james/.rvm/rubies/ruby-2.4.2/bin:/Users/james/.nvm/versions/node/v8.11.2/bin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/Applications/Postgres.app/Contents/Versions/latest/bin:/Users/james/.rvm/bin:/Users/james/.rvm/bin
1560953593.824061 peer 0x108201000 message 105
1560953593.824073 client 0x7f9ccb003800 IDENTIFY_ENVIRON COLORTERM=truecolor
1560953593.824083 peer 0x108201000 message 105
1560953593.824095 client 0x7f9ccb003800 IDENTIFY_ENVIRON TERM=xterm-256color
1560953593.824105 peer 0x108201000 message 105
1560953593.824117 client 0x7f9ccb003800 IDENTIFY_ENVIRON HOME=/Users/james
1560953593.824126 peer 0x108201000 message 105
1560953593.824138 client 0x7f9ccb003800 IDENTIFY_ENVIRON TMPDIR=/var/folders/lp/pdssp26s561dy0kqr6hsb4q00000gn/T/
1560953593.824149 peer 0x108201000 message 105
1560953593.824160 client 0x7f9ccb003800 IDENTIFY_ENVIRON USER=james
1560953593.824170 peer 0x108201000 message 105
1560953593.824181 client 0x7f9ccb003800 IDENTIFY_ENVIRON XPC_SERVICE_NAME=0
1560953593.824191 peer 0x108201000 message 105
1560953593.824217 client 0x7f9ccb003800 IDENTIFY_ENVIRON LOGNAME=james
1560953593.824225 peer 0x108201000 message 105
1560953593.824232 client 0x7f9ccb003800 IDENTIFY_ENVIRON __CF_USER_TEXT_ENCODING=0x0:0:0
1560953593.824239 peer 0x108201000 message 105
1560953593.824246 client 0x7f9ccb003800 IDENTIFY_ENVIRON ITERM_SESSION_ID=w0t2p0:3632FEDC-84AA-43C1-9FCC-949E467DA1E4
1560953593.824253 peer 0x108201000 message 105
1560953593.824260 client 0x7f9ccb003800 IDENTIFY_ENVIRON SHLVL=1
1560953593.824268 peer 0x108201000 message 105
1560953593.824276 client 0x7f9ccb003800 IDENTIFY_ENVIRON OLDPWD=/Users/james/Documents/urbanstemsdev/urbanstems-admin
1560953593.824283 peer 0x108201000 message 105
1560953593.824290 client 0x7f9ccb003800 IDENTIFY_ENVIRON ZSH=/Users/james/.oh-my-zsh
1560953593.824297 peer 0x108201000 message 105
1560953593.824304 client 0x7f9ccb003800 IDENTIFY_ENVIRON PAGER=less
1560953593.824311 peer 0x108201000 message 105
1560953593.824318 client 0x7f9ccb003800 IDENTIFY_ENVIRON LESS=-R
1560953593.824325 peer 0x108201000 message 105
1560953593.824336 client 0x7f9ccb003800 IDENTIFY_ENVIRON LC_CTYPE=en_US.UTF-8
1560953593.824344 peer 0x108201000 message 105
1560953593.824351 client 0x7f9ccb003800 IDENTIFY_ENVIRON LSCOLORS=DxGxxxxxbxxxbxbxFxFx
1560953593.824358 peer 0x108201000 message 105
1560953593.824365 client 0x7f9ccb003800 IDENTIFY_ENVIRON NVM_DIR=/Users/james/.nvm
1560953593.824371 peer 0x108201000 message 105
1560953593.824379 client 0x7f9ccb003800 IDENTIFY_ENVIRON NVM_CD_FLAGS=-q
1560953593.824385 peer 0x108201000 message 105
1560953593.824393 client 0x7f9ccb003800 IDENTIFY_ENVIRON NVM_BIN=/Users/james/.nvm/versions/node/v8.11.2/bin
1560953593.824400 peer 0x108201000 message 105
1560953593.824407 client 0x7f9ccb003800 IDENTIFY_ENVIRON rvm_prefix=/Users/james
1560953593.824414 peer 0x108201000 message 105
1560953593.824421 client 0x7f9ccb003800 IDENTIFY_ENVIRON rvm_path=/Users/james/.rvm
1560953593.824428 peer 0x108201000 message 105
1560953593.824436 client 0x7f9ccb003800 IDENTIFY_ENVIRON rvm_bin_path=/Users/james/.rvm/bin
1560953593.824443 peer 0x108201000 message 105
1560953593.824450 client 0x7f9ccb003800 IDENTIFY_ENVIRON _system_type=Darwin
1560953593.824457 peer 0x108201000 message 105
1560953593.824464 client 0x7f9ccb003800 IDENTIFY_ENVIRON _system_name=OSX
1560953593.824471 peer 0x108201000 message 105
1560953593.824478 client 0x7f9ccb003800 IDENTIFY_ENVIRON _system_version=10.14
1560953593.824484 peer 0x108201000 message 105
1560953593.824492 client 0x7f9ccb003800 IDENTIFY_ENVIRON _system_arch=x86_64
1560953593.824499 peer 0x108201000 message 105
1560953593.824506 client 0x7f9ccb003800 IDENTIFY_ENVIRON rvm_version=1.29.4 (latest)
1560953593.824513 peer 0x108201000 message 105
1560953593.824521 client 0x7f9ccb003800 IDENTIFY_ENVIRON GEM_HOME=/Users/james/.rvm/gems/ruby-2.4.2
1560953593.824527 peer 0x108201000 message 105
1560953593.824536 client 0x7f9ccb003800 IDENTIFY_ENVIRON GEM_PATH=/Users/james/.rvm/gems/ruby-2.4.2:/Users/james/.rvm/gems/ruby-2.4.2@global
1560953593.824542 peer 0x108201000 message 105
1560953593.824551 client 0x7f9ccb003800 IDENTIFY_ENVIRON MY_RUBY_HOME=/Users/james/.rvm/rubies/ruby-2.4.2
1560953593.824558 peer 0x108201000 message 105
1560953593.824566 client 0x7f9ccb003800 IDENTIFY_ENVIRON IRBRC=/Users/james/.rvm/rubies/ruby-2.4.2/.irbrc
1560953593.824572 peer 0x108201000 message 105
1560953593.824579 client 0x7f9ccb003800 IDENTIFY_ENVIRON RUBY_VERSION=ruby-2.4.2
1560953593.824586 peer 0x108201000 message 105
1560953593.824592 client 0x7f9ccb003800 IDENTIFY_ENVIRON CLICOLOR=1
1560953593.824599 peer 0x108201000 message 105
1560953593.824606 client 0x7f9ccb003800 IDENTIFY_ENVIRON rvm_alias_expanded=
1560953593.824613 peer 0x108201000 message 105
1560953593.824620 client 0x7f9ccb003800 IDENTIFY_ENVIRON rvm_bin_flag=
1560953593.824627 peer 0x108201000 message 105
1560953593.824637 client 0x7f9ccb003800 IDENTIFY_ENVIRON rvm_docs_type=
1560953593.824644 peer 0x108201000 message 105
1560953593.824652 client 0x7f9ccb003800 IDENTIFY_ENVIRON rvm_gemstone_package_file=
1560953593.824677 peer 0x108201000 message 105
1560953593.824685 client 0x7f9ccb003800 IDENTIFY_ENVIRON rvm_gemstone_url=
1560953593.824692 peer 0x108201000 message 105
1560953593.824699 client 0x7f9ccb003800 IDENTIFY_ENVIRON rvm_niceness=
1560953593.824706 peer 0x108201000 message 105
1560953593.824713 client 0x7f9ccb003800 IDENTIFY_ENVIRON rvm_nightly_flag=
1560953593.824720 peer 0x108201000 message 105
1560953593.824727 client 0x7f9ccb003800 IDENTIFY_ENVIRON rvm_only_path_flag=
1560953593.824733 peer 0x108201000 message 105
1560953593.824741 client 0x7f9ccb003800 IDENTIFY_ENVIRON rvm_pretty_print_flag=
1560953593.824748 peer 0x108201000 message 105
1560953593.824755 client 0x7f9ccb003800 IDENTIFY_ENVIRON rvm_proxy=
1560953593.824762 peer 0x108201000 message 105
1560953593.824768 client 0x7f9ccb003800 IDENTIFY_ENVIRON rvm_quiet_flag=
1560953593.824774 peer 0x108201000 message 105
1560953593.824781 client 0x7f9ccb003800 IDENTIFY_ENVIRON rvm_ruby_bits=
1560953593.824788 peer 0x108201000 message 105
1560953593.824795 client 0x7f9ccb003800 IDENTIFY_ENVIRON rvm_ruby_file=
1560953593.824801 peer 0x108201000 message 105
1560953593.824808 client 0x7f9ccb003800 IDENTIFY_ENVIRON rvm_ruby_make=
1560953593.824814 peer 0x108201000 message 105
1560953593.824822 client 0x7f9ccb003800 IDENTIFY_ENVIRON rvm_ruby_make_install=
1560953593.824829 peer 0x108201000 message 105
1560953593.824836 client 0x7f9ccb003800 IDENTIFY_ENVIRON rvm_ruby_mode=
1560953593.824842 peer 0x108201000 message 105
1560953593.824849 client 0x7f9ccb003800 IDENTIFY_ENVIRON rvm_script_name=
1560953593.824856 peer 0x108201000 message 105
1560953593.824863 client 0x7f9ccb003800 IDENTIFY_ENVIRON rvm_sdk=
1560953593.824869 peer 0x108201000 message 105
1560953593.824875 client 0x7f9ccb003800 IDENTIFY_ENVIRON rvm_silent_flag=
1560953593.824882 peer 0x108201000 message 105
1560953593.824888 client 0x7f9ccb003800 IDENTIFY_ENVIRON rvm_use_flag=
1560953593.824895 peer 0x108201000 message 105
1560953593.824902 client 0x7f9ccb003800 IDENTIFY_ENVIRON rvm_hook=
1560953593.824908 peer 0x108201000 message 105
1560953593.824915 client 0x7f9ccb003800 IDENTIFY_ENVIRON _=/usr/local/bin/tmux
1560953593.824986 peer 0x108201000 message 106
1560953593.824997 client 0x7f9ccb003800 name is /dev/ttys007
1560953593.825034 tty_resize: /dev/ttys007 now 270x80
1560953593.825043 peer 0x108201000 message 200
1560953593.825060 cmdq_next <global>: enter
1560953593.825068 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825085 cmd_find_current_client: no target, return 0x0
1560953593.825107 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825115 cmd_find_current_client: no target, return 0x0
1560953593.825126 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825133 cmd_find_current_client: no target, return 0x0
1560953593.825144 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825151 cmd_find_current_client: no target, return 0x0
1560953593.825164 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825172 cmd_find_current_client: no target, return 0x0
1560953593.825182 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825188 cmd_find_current_client: no target, return 0x0
1560953593.825198 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825205 cmd_find_current_client: no target, return 0x0
1560953593.825214 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825222 cmd_find_current_client: no target, return 0x0
1560953593.825234 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825241 cmd_find_current_client: no target, return 0x0
1560953593.825251 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825258 cmd_find_current_client: no target, return 0x0
1560953593.825269 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825276 cmd_find_current_client: no target, return 0x0
1560953593.825287 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825294 cmd_find_current_client: no target, return 0x0
1560953593.825305 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825331 cmd_find_current_client: no target, return 0x0
1560953593.825343 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825351 cmd_find_current_client: no target, return 0x0
1560953593.825362 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825369 cmd_find_current_client: no target, return 0x0
1560953593.825379 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825386 cmd_find_current_client: no target, return 0x0
1560953593.825399 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825406 cmd_find_current_client: no target, return 0x0
1560953593.825418 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825425 cmd_find_current_client: no target, return 0x0
1560953593.825435 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825442 cmd_find_current_client: no target, return 0x0
1560953593.825452 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825459 cmd_find_current_client: no target, return 0x0
1560953593.825470 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825477 cmd_find_current_client: no target, return 0x0
1560953593.825488 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825494 cmd_find_current_client: no target, return 0x0
1560953593.825505 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825511 cmd_find_current_client: no target, return 0x0
1560953593.825521 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825528 cmd_find_current_client: no target, return 0x0
1560953593.825538 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825544 cmd_find_current_client: no target, return 0x0
1560953593.825554 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825561 cmd_find_current_client: no target, return 0x0
1560953593.825570 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825576 cmd_find_current_client: no target, return 0x0
1560953593.825585 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825591 cmd_find_current_client: no target, return 0x0
1560953593.825600 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825607 cmd_find_current_client: no target, return 0x0
1560953593.825616 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825622 cmd_find_current_client: no target, return 0x0
1560953593.825630 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825636 cmd_find_current_client: no target, return 0x0
1560953593.825645 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825651 cmd_find_current_client: no target, return 0x0
1560953593.825660 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825666 cmd_find_current_client: no target, return 0x0
1560953593.825676 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825682 cmd_find_current_client: no target, return 0x0
1560953593.825694 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825700 cmd_find_current_client: no target, return 0x0
1560953593.825709 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825715 cmd_find_current_client: no target, return 0x0
1560953593.825724 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825731 cmd_find_current_client: no target, return 0x0
1560953593.825741 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825748 cmd_find_current_client: no target, return 0x0
1560953593.825756 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825763 cmd_find_current_client: no target, return 0x0
1560953593.825773 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825779 cmd_find_current_client: no target, return 0x0
1560953593.825788 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825794 cmd_find_current_client: no target, return 0x0
1560953593.825802 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825809 cmd_find_current_client: no target, return 0x0
1560953593.825818 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825824 cmd_find_current_client: no target, return 0x0
1560953593.825833 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.825914 cmd_find_current_client: no target, return 0x0
1560953593.825926 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826081 cmd_find_current_client: no target, return 0x0
1560953593.826112 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826125 cmd_find_current_client: no target, return 0x0
1560953593.826136 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826142 cmd_find_current_client: no target, return 0x0
1560953593.826151 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826157 cmd_find_current_client: no target, return 0x0
1560953593.826166 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826172 cmd_find_current_client: no target, return 0x0
1560953593.826180 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826186 cmd_find_current_client: no target, return 0x0
1560953593.826194 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826200 cmd_find_current_client: no target, return 0x0
1560953593.826209 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826214 cmd_find_current_client: no target, return 0x0
1560953593.826224 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826229 cmd_find_current_client: no target, return 0x0
1560953593.826238 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826244 cmd_find_current_client: no target, return 0x0
1560953593.826253 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826258 cmd_find_current_client: no target, return 0x0
1560953593.826267 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826273 cmd_find_current_client: no target, return 0x0
1560953593.826281 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826287 cmd_find_current_client: no target, return 0x0
1560953593.826297 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826302 cmd_find_current_client: no target, return 0x0
1560953593.826312 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826318 cmd_find_current_client: no target, return 0x0
1560953593.826327 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826333 cmd_find_current_client: no target, return 0x0
1560953593.826342 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826348 cmd_find_current_client: no target, return 0x0
1560953593.826357 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826362 cmd_find_current_client: no target, return 0x0
1560953593.826371 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826377 cmd_find_current_client: no target, return 0x0
1560953593.826386 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826391 cmd_find_current_client: no target, return 0x0
1560953593.826401 cmdq_next <global>: command[bind-key] (0), flags 0
1560953593.826406 cmd_find_current_client: no target, return 0x0
